Date,Link,OptionText
2023-05-12 15:55:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7062771794541166592,"Yes, for cleaner fuels"
2023-04-27 08:41:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7057230163289264128,Work-life balance
2023-04-25 05:33:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7056476528909389825,Yes
2023-03-28 09:19:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:7046339934206451712,Building Things 
2023-02-28 04:03:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7036180387844231168,India
2023-02-15 06:27:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7031474749524328448,BARD (Google)
2023-01-13 14:32:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7019650611746934784,Linkedin
2022-12-08 07:00:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006476124432035840,LinkedIn
2022-12-04 04:34:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7003209292367482880,20 - 50
2022-11-28 08:52:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7002889182566072320,No
2022-11-26 06:05:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7002135900205789184,12L/yr but all respect you
2022-09-21 13:16:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6978260558630252544,Just Home! My Home
2022-09-17 13:37:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6974636911898316800,Yes
2022-09-15 04:15:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:6974717191178891264,Systematic Investment Plan 
2022-09-09 06:00:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6973483607419940864,One Nation - One Election.
2022-08-28 21:06:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6969742367037763584,Yes
2022-04-20 15:33:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6920718987018313729,Via UPI
2022-01-19 10:27:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889494917790494720,Python
2022-01-19 09:33:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889311022079905792,20K-30k
2022-01-19 09:32:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889468201676214272,Web/App development😄
2022-01-19 06:15:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889416754473394176,Yes 🙂
2022-01-10 05:30:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885812190876598273,Switzerland 🇨🇭
2022-01-09 02:50:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885250101321748480,What Salary Do You Expect? 🤑
2021-12-30 02:47:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6881843541010731008,Hybrid(WFO+WFH)
2021-12-30 02:47:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6881908497785618432,Meh
2021-12-28 02:46:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6881224266315128832,Development
2021-12-20 07:23:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878190962074619904,26-30
2021-12-20 03:54:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878068347729129472,Yes.
2021-12-20 03:53:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878528896795574272,Pass-by-reference
2021-12-17 08:53:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6877463023242510336,yes
2021-12-17 06:20:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6877316137235955712,Windows
2021-12-17 05:35:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6877288791216922624,17
2021-12-16 18:37:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6877238408037711872,uni
2021-12-13 14:33:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6876150967134429184,40%
2021-12-13 05:56:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875994390125510656,Dark Mode 🖤
2021-12-13 02:53:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875809165617504256,No
2021-12-10 05:34:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874622518435676160,R
2021-12-04 12:55:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872787585421369344,Applying via Internal Referral
2021-12-02 02:57:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:6871669909420556288,Normal Last Month of the year 
2021-12-01 05:04:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870927970865823744,Yes
2021-11-28 04:03:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6868434635928424448,Ratan Tata
2021-11-28 02:32:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869924730904956928,Home
2021-11-28 02:32:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870340032834674688,Online 👨🏻‍💻
2021-11-26 03:05:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869499032260132864,No
2021-11-26 03:04:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869302256567652352,Agree.
2021-11-26 03:03:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869625830885089280,Paid Well
2021-11-24 15:03:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869168964967116800,5 am to 7 am
2021-11-24 14:12:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869224328676872194,Yes ☑️
2021-11-22 19:10:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6868397058651406336,Postgraduate Degree
2021-11-22 19:09:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6866570737587773440,6 - 8
2021-11-22 19:09:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6868584762894815233,true
2021-11-20 07:04:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6867652813225381888,Both
2021-11-20 07:02:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6866933640937447424,Yes
2021-11-19 17:55:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6867343137115779072,Yes 👍
2021-11-19 05:10:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:6867141826365718528,No
